Year,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kt),CO2 intensity (kg per kg of oil equivalent energy use),Electric power consumption (kWh per capita),Electric power transmission and distribution losses (% of output),Electricity consumption (GWh),Electricity production from hydroelectric sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy intensity level of primary energy (MJ/$2011 PPP GDP),Power outages in firms in a typical month (number),Renewable energy consumption (% of total final energy consumption),Electricity consumption (GWh)-1
1971,0.0,0.0,0.256769546311727,1353.123,1.0896456034421,73.845480611003,14.9606299212598,324.0000000000001,0.0,90.2887139107612,90.2887139107612,37000000.0,0.0,0.0,0.0,4429.678347908086
1972,0.0,0.0,0.25967764757117,1455.799,1.15571431179857,74.7309299600941,15.5,337.9999999999999,0.0,90.5,90.5,38000000.0,0.0,0.0,0.0,324.0000000000001
1973,0.0,0.0,0.293045688555788,1551.141,1.1760833237294,80.2450262566446,15.3846153846154,374.0,0.0,91.4027149321267,91.4027149321267,38000000.0,0.0,0.0,0.0,337.9999999999999
1974,0.0,0.0,0.335749516302863,1851.835,1.36639663417373,79.8384553280912,14.8888888888889,382.99999999999983,0.0,91.3333333333333,91.3333333333333,39000000.0,0.0,0.0,0.0,374.0
1975,0.0,0.0,0.435255393354428,2581.568,1.85992332836454,83.1668981140587,14.4050104384134,409.99999999999983,0.0,91.8580375782881,91.8580375782881,39000000.0,0.0,0.0,0.0,382.99999999999983
1976,0.0,0.0,0.274730718968835,1774.828,1.25132229994881,86.6061425505469,14.6198830409357,437.99999999999983,0.0,92.3976608187134,92.3976608187134,39000000.0,0.0,0.0,0.0,409.99999999999983
1977,0.0,0.0,0.356963776987901,2244.204,1.54306046885797,91.8650417619252,16.0493827160494,476.00000000000006,0.0,92.9453262786596,92.9453262786596,40000000.0,0.0,0.0,0.0,437.99999999999983
1978,0.0,0.0,0.435423924944023,2629.239,1.80353416662894,97.424359971892,16.6129032258065,516.9999999999998,0.0,93.5483870967742,93.5483870967742,40000000.0,0.0,0.0,0.0,476.00000000000006
1979,0.0,0.0,0.448930380897453,2900.597,1.90309031060571,102.223433214453,17.7514792899408,556.000000000002,0.0,94.0828402366864,94.0828402366864,40000000.0,0.0,0.0,0.0,516.9999999999998
1980,0.0,0.0,0.536500409999716,3351.638,2.14728286844422,102.988179643625,14.9408284023669,574.9999999999997,0.0,94.0828402366864,94.0828402366864,40000000.0,0.0,0.0,0.0,556.000000000002
1981,0.0,0.0,0.50223482183496,3296.633,2.12703839676876,106.089354760712,14.586255259467,609.0000000000006,0.0,94.3899018232819,94.3899018232819,40000000.0,0.0,0.0,0.0,574.9999999999997
1982,0.0,0.0,0.431518986856473,3054.611,1.98973608375283,95.9433233853475,16.0,567.0000000000001,0.0,93.7777777777778,93.7777777777778,42000000.0,0.0,0.0,0.0,609.0000000000006
1983,0.0,0.0,0.392871411558546,2632.906,1.71121153292461,105.426128470113,14.2857142857143,642.000000000003,0.0,94.392523364486,94.392523364486,42000000.0,0.0,0.0,0.0,567.0000000000001
1984,0.0,0.0,0.475731759748394,3307.634,2.04264335440634,109.917698724827,14.4981412639405,689.9999999999984,0.0,94.7955390334573,94.7955390334573,42000000.0,0.0,0.0,0.0,642.000000000003
1985,0.0,0.0,0.372775743450038,2676.91,1.71519830845134,104.151745074851,16.0647571606476,674.0000000000002,0.0,94.7696139476961,94.7696139476961,42000000.0,0.0,0.0,0.0,689.9999999999984
1986,0.0,0.0,0.359539452084344,2662.242,1.63020790915754,101.639072458015,15.3558052434457,677.9999999999997,0.0,94.7565543071161,94.7565543071161,42000000.0,0.0,0.0,0.0,674.0000000000002
1987,0.0,0.0,0.312279655997998,2453.223,1.40951268503559,103.406840907921,17.8034682080925,711.0000000000015,0.0,94.9132947976879,95.028901734104,43000000.0,0.0,0.0,0.0,677.9999999999997
1988,0.0,0.0,0.351236563268283,2742.916,1.65730599470105,104.563144074043,16.8350168350168,741.0000000000031,0.0,92.2558922558923,95.1739618406285,43000000.0,0.0,0.0,0.0,711.0000000000015
1989,0.0,0.0,0.455216289849686,3696.336,2.24721767942366,100.636446796797,20.1954397394137,735.0000000000025,0.0,92.1824104234528,95.3311617806732,43000000.0,0.0,0.0,0.0,741.0000000000031
1990,0.0,0.0,0.394658266964991,3182.956,1.88743094741686,103.636484666384,17.4603174603175,779.9999999999985,0.0,93.015873015873,95.3439153439153,44000000.0,5.04207757414802,0.0,55.5510111313875,735.0000000000025
1991,0.0,0.0,0.41408359110681,3424.978,2.04645635134505,102.636891309079,17.8534571723426,795.999999999997,0.0,93.7048503611971,95.4592363261094,44000000.0,4.87915848889042,0.0,55.2735459856467,779.9999999999985
1992,0.0,0.0,0.415569690607453,3479.983,1.95612909390871,109.260264207088,17.0152091254753,872.999999999997,0.0,94.7718631178707,95.722433460076,45000000.0,5.12278044353619,0.0,53.6618832628227,795.999999999997
1993,4.87466167299289,58.6,0.423634125527473,3593.66,2.02691871873532,104.41534698958,17.1648987463838,858.9999999999972,0.0,90.9353905496625,95.6605593056895,45000000.0,5.03980802905729,0.0,55.0853366292708,872.999999999997
1994,2.06041121315313,66.1726684570313,0.460025338222648,3901.688,2.21568228822982,110.033390583789,12.9906542056075,930.9999999999984,0.0,89.3457943925234,95.7943925233645,45000000.0,5.00649351164901,0.0,54.7505208242093,858.9999999999972
1995,3.89369926850349,67.2896728515625,0.391059597564919,3494.651,1.87397330058692,109.318995590877,16.0777385159011,949.999999999998,0.0,80.1236749116608,95.9363957597173,46000000.0,5.0319803953226,0.0,53.1778586573874,930.9999999999984
1996,5.7446325073604,68.3894805908203,0.410297079123556,3740.34,1.95843059146558,110.06566802736,18.4538653366584,981.000000000004,0.0,82.3773898586866,96.0931005818786,47000000.0,5.05184051316062,0.0,52.4673729314296,949.999999999998
1997,7.84425287953184,68.9,0.347158952905957,3263.63,1.61157602252117,117.513356055503,16.8861347792409,1073.000000000003,0.0,89.2331525948877,96.281951975213,48000000.0,5.19441881476755,0.0,50.672000836312,981.000000000004
1998,9.51745628395509,70.5222702026367,0.344397077737045,3428.645,1.60340158355223,122.168122592609,15.6573116691285,1142.000000000003,0.0,90.6203840472674,96.3810930576071,49000000.0,5.1793652675167,0.0,48.0235663932171,1073.000000000003
1999,11.6195222574929,72.8,0.349472733588007,3700.003,1.64125881787764,118.302109727924,19.0271816881259,1132.0000000000005,0.0,94.7782546494993,96.4234620886981,50000000.0,5.13385553552597,0.0,45.8454492538932,1142.000000000003
2000,12.8102449751064,74.64,0.360454933100431,3938.358,1.64245249498301,102.574738199669,37.3441396508728,1004.9999999999956,0.0,89.8379052369077,90.0249376558604,53000000.0,5.29197211038152,0.0,47.515245548353,1132.0000000000005
2001,15.1295853452011,73.5634918212891,0.379004308098406,4330.727,1.67097665115324,124.550323511992,33.9323467230444,1249.9999999999968,0.0,91.4904862579281,91.4904862579281,62000000.0,5.46931775432753,0.0,45.8278848446643,1004.9999999999956
2002,11.2506980205269,74.16916,0.392161409114802,4510.41,1.71380597908131,147.320531260201,25.880626223092,1514.9999999999975,9.49119373776908,79.0606653620352,79.7455968688845,70000000.0,5.51775726238941,0.0,44.4838943513731,1249.9999999999968
2003,18.7099820886421,75.7188568115234,0.405549099958499,4976.119,1.94610596481293,127.496486020399,37.4301675977654,1343.9999999999973,15.6890130353817,72.5791433891992,74.9534450651769,57000000.0,5.02500326872557,0.0,44.7177001978836,1514.9999999999975
2004,8.64158105490677,76.8118667602539,0.402820427990561,5232.809,1.91239745111569,140.331947497535,32.9946996466431,1516.9999999999957,12.9416961130742,75.3091872791519,78.0035335689046,45000000.0,5.07916967138597,0.0,40.7981221958656,1343.9999999999973
2005,23.2679270140633,80.4,0.423603849349064,5812.195,2.08199421990165,160.232769431808,30.1493710691824,1777.000000000005,10.4952830188679,79.2452830188679,81.8003144654088,55000000.0,4.9061381021133,0.0,41.22865403155,1516.9999999999957
2006,25.3720606333019,83.6,0.336480061261514,4730.43,1.69018840135932,159.546410258483,25.5432554325543,1816.000000000003,9.59409594095941,84.9528495284953,87.0028700287003,55000000.0,4.80046831767487,0.0,44.2047834073397,1777.000000000005
2007,24.875106607315,80.2059173583984,0.351218186117707,5181.471,1.7255809693813,184.049394716217,19.0135542168675,2151.000000000005,6.81475903614458,88.328313253012,90.0602409638554,40000000.0,4.90796032815805,11.5,40.6306051524891,1816.000000000003
2008,26.3876426781211,81.3669967651367,0.331793889941922,5093.463,1.6249801801066,160.936952948682,30.5535585909418,1931.999999999996,8.23148813803019,86.8799424874191,88.6053199137311,43000000.0,4.94131840019323,13.416666666666666,40.4667628042233,2151.000000000005
2009,30.6113845204792,83.4,0.301361693302365,4723.096,1.25638781613219,192.378098114289,16.9699090272918,2372.999999999997,8.36249125262421,86.4240727781665,88.1385584324703,53000000.0,5.78605516926597,15.652777777777777,51.9585671406511,1931.999999999996
2010,35.2508365489847,83.7948303222656,0.47715836682868,7744.704,2.02145776557867,202.868747075677,16.3849154746424,2572.0,8.22496749024707,83.6475942782835,86.3784135240572,77000000.0,5.66028067982968,18.261574074074073,50.2604668379306,2372.999999999997
2011,31.7188668004045,87.8,0.508155123764213,8368.094,2.06265998807476,203.777729135052,15.7092986353539,2656.0000000000027,8.15614090764837,84.0050777530943,86.0361789907966,80000000.0,5.88999398875465,21.305169753086417,48.6553646989562,2572.0
2012,32.5339602749044,86.2658615112305,0.457148735302451,7913.386,1.96608647625569,215.490370050241,16.2898550724638,2887.9999999999995,8.40579710144928,82.6666666666667,86.7246376811594,49000000.0,5.59665678870864,24.85603137860082,50.369745509563,2656.0000000000027
2013,31.7806453451913,87.8,0.473857135707618,8434.1,2.27226988017246,215.346796861509,16.6526256669475,2967.999999999999,8.64925582701488,83.6001123279977,87.7843302443134,63000000.0,4.98734553924782,15.42801568930041,43.5938292712968,2887.9999999999995
2014,41.0149536480354,85.0,0.494126465683151,9376.519,2.36916291767893,229.351795106376,12.8667563930013,3250.9999999999964,8.64064602960969,83.606998654105,87.7792732166891,66000000.0,5.05682074257146,6.0,43.3570635809297,2967.999999999999
2015,38.1357300855523,86.9,0.527045400531701,10637.967,2.493193373940985,240.754268799325,9.918956026677883,3470.83333333333,8.64728192161821,83.6156763590392,87.787610619469,70000000.0,4.97676680174836,4.763888888888889,42.7117516284132,3250.9999999999964
2016,44.5002368567598,87.7,0.507847048406661,10901.991,2.699327633575784,248.81696391349766,8.74379719324223,3653.805555555552,8.69474703311721,83.14761028918466,87.72911931730212,72833333.33333333,4.841885407162091,2.9490740740740744,41.17061570970688,3470.83333333333
2017,35.3725475569635,91.7,0.5129618286696578,11428.2055,2.8123059449086365,256.4750000531344,7.470277479675535,3834.106481481477,8.773043623595566,83.06427962433484,87.9542369495096,72138888.88888888,4.705486195050827,0.39699074074074137,39.655640521669596,3653.805555555552
2018,41.4245542182202,93.5,0.5137629461538986,11938.224083333334,2.9372469377142827,265.25787853948145,6.0971072870624745,4030.4575617283895,8.875860742920098,82.90747993620826,88.27391327596177,70828703.7037037,4.508068229433523,3.087705761316871,38.15568649212183,3834.106481481477
2019,47.8238389582609,95.2,0.5231986479624732,12609.030430555556,3.0991070146240483,273.55246328768817,4.398315989495587,4220.867155349788,8.954204683165234,82.94761548113186,88.5321258750955,74466820.98765431,4.32663680288767,7.744995284636486,36.12000998921497,4030.4575617283895
2020,50.49770456043917,96.43333333333334,0.5314222333382823,13304.852168981482,3.236913203699313,283.2534076920514,2.355931043253601,4429.678347908086,9.005029492523626,82.83886600665423,88.65675848022585,76377957.81893003,4.216518680160978,11.607163780292636,34.87437344220133,4220.867155349788
