Year,"Foreign direct investment, net inflows (BoP, current million US$)",GDP (current million US$),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, female (years)","Literacy rate, youth total (% of people ages 15-24)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","Population, total (million people)",Rural population,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, male (% gross)",Urban population (% of total population),Electricity consumption (GWh)-1
1971,9.8,1339.54882366855,305.307489770704,0.0,40.757,0.0,0.0,4.38754,3039688.0,0.0,38.8340682983398,0.0,0.0,12.9236001968384,30.72,4429.678347908086
1972,15.2,1620.85727719338,358.367371767004,0.0,41.534,0.0,0.0,4.522893,3100398.0,0.0,38.6303787231445,0.0,0.0,13.7858896255493,31.451,324.0000000000001
1973,4.9,1863.39844832592,399.808709659103,0.0,42.45,0.0,0.0,4.660725,3160484.0,0.0,39.167911529541,0.0,0.0,14.004733085632315,32.189,337.9999999999999
1974,10.2615376105481,2099.32494984605,437.615825659089,0.0,43.483,0.0,0.0,4.797187,3217138.0,0.0,39.7968215942383,0.0,0.0,14.223576545715334,32.937,374.0
1975,22.5371407521894,2830.38840487845,574.133229492047,0.0,44.6,0.0,0.0,4.929846,3268833.0,0.0,40.0835609436035,0.0,0.0,14.44242000579835,33.693,382.99999999999983
1976,35.865169587897505,2869.77781241008,567.443804360695,0.0,45.761,0.0,0.0,5.057378,3319056.0,0.0,39.6292915344238,0.0,0.0,14.661263465881367,34.372,409.99999999999983
1977,27.9632398429421,2938.04630722894,567.024677966506,0.0,46.929,0.0,0.0,5.181514,3382596.0,0.0,42.4107818603516,0.0,0.0,14.880106925964384,34.718,437.99999999999983
1978,5.00762532304027,3280.35433939341,618.155555118805,0.0,48.074,0.0,0.0,5.306681,3445787.0,0.0,40.9492492675781,24.8883,36.61892,15.0989503860474,35.067,476.00000000000006
1979,8.93186025610297,4084.87866785616,751.025758440173,0.0,49.174,0.0,0.0,5.439066,3512712.0,1.0273300409317,42.1765785217285,27.04413,39.61145,14.1977195739746,35.417,516.9999999999998
1980,14.4831807980368,4435.05039667262,794.361333880088,0.0,50.234,0.0,0.0,5.583165,3586123.0,1.08973002433777,43.1518783569336,28.08905,40.93641,14.3774995803833,35.769,556.000000000002
1981,34.3721711724562,4021.6972333940303,700.589925342714,0.0,51.272,0.0,0.0,5.740444,3666881.0,1.46382999420166,44.6970291137695,29.08685,42.61276,15.0628499984741,36.122,574.9999999999997
1982,28.0578958077396,3936.7586815834297,666.14763893692,0.0,52.313,0.0,0.0,5.909739,3754103.0,1.4222799539566,46.4694595336914,30.51298,44.76404,15.6809797286987,36.476,609.0000000000006
1983,34.692149785675504,3512.05323203566,576.732360178295,0.0,53.362,0.0,0.0,6.089572,3846661.0,1.47748994827271,49.0120811462402,32.19517,47.07933,16.2263202667236,36.832,567.0000000000001
1984,29.087552599932906,3425.1273733671296,545.626259014387,0.0,54.404,0.0,0.0,6.277424,3942787.0,1.46895003318787,50.7433700561523,33.05545,47.92365,16.2373294830322,37.191,642.000000000003
1985,15.8036619737062,3750.05642449274,579.48801296747,0.0,55.41,0.0,0.0,6.471327,4041408.0,1.53817999362946,52.06005859375,33.89343,48.52876,16.6259994506836,37.549,689.9999999999984
1986,8.431851637610109,5304.238012679711,795.159043813143,0.0,56.343,0.0,0.0,6.670663,4141881.0,1.97230994701385,53.9548301696777,37.53358,54.15046,17.8875694274902,37.909,674.0000000000002
1987,3.95958478559528,6381.38575978027,928.099777825133,0.0,57.171,0.0,0.0,6.875754,4244334.0,1.96025002002716,54.5733108520508,38.15919,54.176215,18.21468925476075,38.271,677.9999999999997
1988,14.9404955908049,6311.05490148841,890.558357521626,0.0,57.868,37.8661003112793,0.0,7.086627,4350268.0,2.08348989486694,55.3095397949219,38.7848,54.20197,18.5418090820313,38.613,711.0000000000015
1989,26.801810528833,6219.793532558751,851.616218947494,0.0,58.422,38.670270919799805,0.0,7.303517,4473039.0,2.12755990028381,54.6141395568848,38.557355,52.77982,19.894889831543,38.755,741.0000000000031
1990,56.8931447815232,7237.10072434196,961.573946470954,0.0,58.817,39.47444152832031,100.0,7.526307,4598875.0,2.15959000587463,54.6507911682129,38.32991,51.35767,20.2366504669189,38.896,735.0000000000025
1991,7.55032908975467,7111.25286584624,916.930763144774,0.0,59.048,40.27861213684082,100.0,7.755496,4727905.0,2.26287007331848,54.8152389526367,38.293505,50.850465,20.34186553955075,39.038,779.9999999999985
1992,21.3833597563283,7602.00527443616,951.428527821963,0.0,59.14,41.08278274536133,100.0,7.990096,4859576.0,2.26074004173279,54.2021293640137,38.2571,50.34326,20.4470806121826,39.18,795.999999999997
1993,0.812254219488015,7189.22645328161,873.883090461082,0.0,59.134,41.88695335388184,100.0,8.22676,4991916.0,2.2389600276947,53.4124984741211,39.71932,51.488172500000005,19.94298315048217,39.321,872.999999999997
1994,66.8762355407485,4908.415368782,580.117707218758,0.0,59.063,42.69112396240234,100.0,8.461068,5121992.0,2.16855001449585,54.3690414428711,41.18154,52.633085,19.43888568878175,39.464,858.9999999999972
1995,31.6739454230512,6176.312552138799,710.724510163307,0.000692848,58.97,43.49529457092285,100.0,8.690164,5248338.0,2.254860043525695,55.3205986022949,42.64376,53.7779975,18.934788227081324,39.606,930.9999999999984
1996,13.9555587609991,6413.18983920318,719.543347439523,0.011238219,58.896,44.29946517944335,100.0,8.912861,5370088.0,2.34117007255554,59.1126403808594,44.10598,54.92291,18.4306907653809,39.749,949.999999999998
1997,178.810136257774,5915.25025827977,647.82936603787,0.027347441,58.874,45.10363578796386,100.0,9.130877,5488479.0,2.2011399269104,63.2571983337402,48.69991,59.03978,18.1670398712158,39.891,981.000000000004
1998,71.1058120483919,6368.26519369887,681.260072579726,0.079871379,58.931,45.90780639648437,100.0,9.347774,5605486.0,2.31094002723694,66.7360992431641,51.95599,61.16169,17.8093204498291,40.034,1073.000000000003
1999,161.686935933266,6512.20762219727,680.57235043481,0.311090952,59.091,46.71197700500488,100.0,9.568722,5724297.0,2.76681995391846,65.9185485839844,50.77453,60.32928,18.4610404968262,40.177,1142.000000000003
2000,81.64369012351871,5924.23970081588,604.654066013211,0.403967486,59.368,47.51614761352538,100.0,9.797734,5847288.0,2.84063005447388,69.263427734375,54.80801,61.96139,19.0174407958984,40.32,1132.0000000000005
2001,45.083429813955,6174.898370140179,615.268471723706,0.983794059,59.764,48.32031822204589,100.0,10.036104,5975095.0,3.4938600063324,71.2180404663086,57.414723333333335,63.90111666666667,19.2248992919922,40.464,1004.9999999999956
2002,82.6926715664976,6752.510282957441,656.622707739447,1.006454537,60.253,49.1244888305664,100.0,10.283699,6107797.0,3.09505009651184,72.1702728271484,60.021436666666666,65.84084333333334,20.7959499359131,40.607,1249.9999999999968
2003,86.4997803681952,8683.229268119789,823.721145085384,2.10143643,60.812,49.556282043457024,100.0,10.541467,6230218.0,3.14578008651733,76.0498199462891,62.62815,67.78057,22.1850395202637,40.898,1514.9999999999975
2004,137.583476929811,10167.4418544694,940.551691829693,4.38602398,61.428,49.98807525634765,100.0,10.810083,6344870.0,5.50081014633179,78.120491027832,62.54877,64.78611,23.5741291046143,41.306,1343.9999999999973
2005,167.944230519191,11022.8216318674,993.932041095639,4.786684083,62.094,50.419868469238274,100.0,11.090116,6463985.0,7.76855993270874,79.9345016479492,64.00341,65.44493,25.641450881958,41.714,1516.9999999999957
2006,289.84030029228,11847.848224894698,1040.90399425621,5.611738652,62.806,50.8516616821289,100.0,11.382268,6587601.0,9.15799045562744,80.0220336914063,66.75634,67.00272,27.464469909668,42.124,1777.000000000005
2007,351.458732442619,14285.9700851384,1222.3729182258,6.89,63.554,55.0185712178548,100.0,11.68708,6715981.0,9.31768989562988,83.5587463378906,69.80754,68.89075,30.652675628662152,42.535,1816.000000000003
2008,455.73986797629306,16949.7894645284,1411.92933206154,7.12,64.322,59.1854807535807,100.0,12.004701,6849042.0,10.4977197647095,84.0872573852539,71.3625,69.04859,33.8408813476563,42.947,2151.000000000005
2009,331.473910250358,16248.2128522153,1317.23568742745,7.5,65.088,63.3523902893066,100.0,12.335084,6986715.0,11.2641401290894,83.8946304321289,72.1801,68.97246,36.2578563690186,43.359,1931.999999999996
2010,272.092888456612,16230.8879784993,1280.22546972155,8.0,65.829,64.56645011901855,100.0,12.678148,7128542.0,12.7255601882935,84.0348815917969,73.6628,69.52928,38.6748313903809,43.773,2372.999999999997
2011,338.66199557934704,17902.207621624802,1373.52078902067,9.8,66.521,65.7805099487305,100.0,13.033809,7274429.0,13.5211896896362,86.9881286621094,74.60177,69.92345,43.1687088012695,44.188,2572.0
2012,276.159533004474,17824.3984688858,1329.98137880303,10.8,67.152,61.36175918579104,100.0,13.401991,7424301.0,14.2036800384521,86.8044586181641,77.19371,71.40988,46.6852912902832,44.603,2656.0000000000027
2013,311.36676881942395,18965.5721502913,1376.06981577192,13.1,67.717,56.9430084228516,100.0,13.78242,7577712.0,14.9982995986938,84.5947265625,76.11761,70.30544,48.8939514160156,45.019,2887.9999999999995
2014,403.098056387863,19797.2546431212,1396.65822533925,17.7,68.21,60.07685852050785,100.0,14.174731,7734300.0,15.0774202346802,85.5735015869141,76.84509,70.70987,50.3610801696777,45.436,2967.999999999999
2015,409.16612581491,17774.766636045897,1219.24866243037,27.0,68.634,63.210708618164105,100.0,14.578459,7892486.0,15.3767404556274,84.9339828491211,77.2763,70.49687,48.97047424316404,45.862,3250.9999999999964
2016,472.409799846776,19040.3128151337,1269.90210810516,25.66476804,68.999,66.34455871582036,100.0,14.993528,8052124.0,15.761880159378023,84.21895027160645,77.25883,69.89549,47.57986831665038,46.296,3470.83333333333
2017,588.292997958708,20996.5647515994,1361.69958778497,29.64312367,69.324,69.4784088134766,100.0,15.419381,8212362.0,16.14701986312865,83.5039176940918,79.59276,71.27036,46.18926239013672,46.74,3653.805555555552
2018,847.841574790216,23236.007428258203,1465.59100640191,29.64312367,69.627,69.4784088134766,100.0,15.85436,8372370.0,16.532159566879276,82.78888511657715,79.59276,71.27036,44.79865646362306,47.192,3834.106481481477
2019,983.3381540313,23578.084052014703,1446.83096499408,29.64312367,69.918,69.4784088134766,100.0,16.296364,8530658.0,16.9172992706299,82.0738525390625,79.59276,71.27036,43.4080505371094,47.653,4030.4575617283895
2020,1095.333384899946,24346.83603563527,1458.62448986444,32.400310948333335,70.28483333333334,71.5676422119141,100.0,16.715354666666666,8689482.333333334,17.237132549285917,81.65370686848958,80.17195166666667,71.43118,42.49373372395837,48.092,4220.867155349788
